,Mobile,Price,Ratings
0,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
1,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
2,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
3,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
4,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
5,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
6,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
7,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
8,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
9,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
10,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
11,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
12,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
13,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
14,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
15,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
16,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
17,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
18,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
19,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
20,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
21,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
22,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
23,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
24,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
25,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
26,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
27,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
28,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
29,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
30,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
31,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
32,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
33,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
34,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
35,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
36,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
37,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
38,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
39,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
40,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
41,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
42,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
43,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
44,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
45,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
46,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
47,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
48,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
49,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
50,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
51,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
52,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
53,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
54,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
55,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
56,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
57,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
58,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
59,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
60,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
61,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
62,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
63,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
64,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
65,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
66,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
67,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
68,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
69,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
70,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
71,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
72,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
73,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
74,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
75,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
76,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
77,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
78,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
79,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
80,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
81,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
82,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
83,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
84,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
85,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
86,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
87,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
88,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
89,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
90,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
91,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
92,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
93,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
94,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
95,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
96,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
97,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
98,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
99,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
100,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
101,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
102,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
103,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
104,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
105,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
106,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
107,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
108,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
109,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
110,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
111,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
112,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
113,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
114,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
115,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
116,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
117,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
118,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
119,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
120,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
121,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
122,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
123,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
124,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
125,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
126,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
127,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
128,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
129,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
130,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
131,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
132,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
133,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
134,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
135,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
136,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
137,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
138,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
139,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
140,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
141,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
142,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
143,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
144,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
145,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
146,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
147,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
